##;##
@MONITOR
Status;Event;Command;Issue;Start;Stop;Workload;Energy;Name
0;0x1d9a080;11f4;26080212364444061;26080212364445785;26080212394160026;1;0.70757;-
0;0x18511e0;11f0;26080212394374456;26080212394388751;26080212447620440;1;1.26758;kmeans_swap
0;0x1d9a350;11f4;26080212447647844;26080212447648572;26080212447651544;1;7.07946e-05;-
0;0x1851440;11f0;26080212447706193;26080212447717758;26080212490556519;1;1.0201;kmeans_kernel_c
0;0x1850470;11f3;26080212490611821;26080212490612409;26080212492029742;1;0.0337503;-
0;0x18506f0;11f4;26080212506412777;26080212506414361;26080212506417591;1;7.69382e-05;-
0;0x1853d50;11f0;26080212506465701;26080212506488426;26080212549592430;1;0.990551;kmeans_kernel_c
0;0x18541a0;11f3;26080212549777109;26080212549777701;26080212550148089;1;0.00872874;-
0;0x1857ad0;11f4;26080212564082793;26080212564084553;26080212564087468;1;6.87196e-05;-
0;0x1857e60;11f0;26080212564137753;26080212564152502;26080212606244197;1;0.99195;kmeans_kernel_c
0;0x191be80;11f3;26080212606428220;26080212606429120;26080212606802368;1;0.00879614;-
0;0x191c210;11f4;26080212620816111;26080212620817693;26080212620820671;1;6.80748e-05;-
0;0x18531c0;11f0;26080212620870789;26080212620885368;26080212662866935;1;0.959344;kmeans_kernel_c
0;0x1853720;11f3;26080212663041009;26080212663041589;26080212663412650;1;0.00847935;-
0;0x19b0280;11f4;26080212677097577;26080212677099228;26080212677102615;1;7.74211e-05;-
0;0x19b0610;11f0;26080212677151482;26080212677173691;26080212719171408;1;0.959713;kmeans_kernel_c
0;0x1854930;11f3;26080212719222317;26080212719222980;26080212719593439;1;0.00846664;-
0;0x1854bb0;11f4;26080212732943332;26080212732944850;26080212732947803;1;6.7342e-05;-
0;0x1854f40;11f0;26080212732994163;26080212733005655;26080212774502690;1;0.946003;kmeans_kernel_c
0;0x1855690;11f3;26080212774555391;26080212774555972;26080212774926883;1;0.00845563;-
0;0x1855910;11f4;26080212788241713;26080212788243358;26080212788246339;1;6.79803e-05;-
0;0x19ba870;11f0;26080212788295304;26080212788306688;26080212830778280;1;0.972615;kmeans_kernel_c
0;0x19bacc0;11f3;26080212830832497;26080212830833118;26080212831206226;1;0.00856985;-
0;0x19be020;11f4;26080212844650625;26080212844652183;26080212844655251;1;7.04911e-05;-
0;0x19baf40;11f0;26080212844701820;26080212844713863;26080212886381093;1;0.957044;kmeans_kernel_c
