Architecture,Benchmark,DataSetSize,ExecutionDevice,AvgEnergyJ,AvgRuntimeMS
dividend,KMEANS,512,CPU,0.03709731522899999,1.814752
dividend,KMEANS,512,GPU,0.046224584080000006,5.2329688
dividend,KMEANS,204800,CPU,177.86478159819993,7475.430258000002
dividend,KMEANS,204800,GPU,24.63712124394,857.0509515999998
dividend,KMEANS,102400,CPU,85.90415763707999,3660.6522191999998
dividend,KMEANS,102400,GPU,17.87332097793,649.2611720000001
dividend,KMEANS,1024,CPU,0.19227092581200003,8.9568868
dividend,KMEANS,1024,GPU,0.08898541726999999,8.424206800000002
dividend,KMEANS,256,CPU,0.025250303077,1.2230392
dividend,KMEANS,256,GPU,0.03065939468,3.7637755999999998
dividend,KMEANS,100,CPU,0.007515591266,0.41375039999999996
dividend,KMEANS,100,GPU,0.02517678456,3.2092883999999997
dividend,LUD,512,CPU,11.8016159125,466.5554064
dividend,LUD,512,GPU,0.09310923341000002,357.61119679999996
dividend,LUD,64,CPU,0.08670561750000001,3.9477744
dividend,LUD,64,GPU,0.004034238925,10.0969188
dividend,LUD,2048,CPU,813.1061299857998,30247.772216
dividend,LUD,2048,GPU,2.658348516298998,26599.086330800004
dividend,LUD,256,CPU,1.3600096330000002,60.185174399999994
dividend,LUD,256,GPU,0.029616027013749997,71.221285
